z,Velocity,H2,NH3,N2,Ni(s),N(s),H(s),NH(s),NH2(s),NH3(s),GasTemperature
0.152811,0.001284368,0.000161919,0.554161,0.346491,1.53E-04,9.97E-01,0.00177455,0.00084683,2.74E-08,1.75E-05,664.037
0.153036,0.001307562,0.000198847,0.552645,0.347738,1.85E-04,9.97E-01,0.00192976,0.000895426,3.14E-08,1.62E-05,675.593
0.153214,0.001333623,0.000247936,0.550888,0.349182,2.28E-04,9.97E-01,0.0021084,0.000949399,3.62E-08,1.50E-05,688.523
0.153318,0.001354607,0.000293964,0.549429,0.350382,2.67E-04,9.96E-01,0.00225462,0.00099207,4.03E-08,1.41E-05,698.886
0.153384,0.001371719,0.000336206,0.548208,0.351387,3.03E-04,9.96E-01,0.00237494,0.00102618,4.38E-08,1.34E-05,707.302
0.153449,0.001393291,0.000396002,0.546624,0.352689,3.53E-04,9.96E-01,0.00252752,0.00106811,4.84E-08,1.26E-05,717.866
0.153506,0.001418776,0.000476782,0.544687,0.354282,4.20E-04,9.96E-01,0.00270823,0.00111581,5.41E-08,1.17E-05,730.272
0.153552,0.001445757,0.000575301,0.542551,0.356039,5.02E-04,9.95E-01,0.00289929,0.00116378,6.03E-08,1.09E-05,743.312
0.153587,0.001474708,0.000697071,0.540156,0.358009,0.000601973,0.995036,0.00310315,0.00121195,6.71E-08,1.01E-05,757.184
0.153611,0.001500339,0.000819748,0.537941,0.359831,0.000703133,0.994716,0.00328229,0.00125148,7.32E-08,9.41E-06,769.357
0.153629,0.001525473,0.000954364,0.535678,0.361691,0.00081461,0.994394,0.00345661,0.00128721,7.92E-08,8.82E-06,781.185
0.153645,0.001552669,0.00111675,0.533126,0.363791,0.000950251,0.994035,0.00364397,0.00132238,8.55E-08,8.24E-06,793.857
0.15366,0.001588238,0.00135644,0.529618,0.366675,0.00115374,0.993545,0.00388793,0.00136289,9.36E-08,7.56E-06,810.216
0.153673,0.001629761,0.001677,0.525273,0.370249,0.00143365,0.992938,0.00417386,0.00140259,1.03E-07,6.87E-06,828.991
0.153683,0.001674375,0.00207218,0.520297,0.374342,0.00179302,0.992227,0.00448771,0.00143711,1.12E-07,6.23E-06,848.75
0.153691,0.00172655,0.00260413,0.514059,0.379472,0.0023035,0.991295,0.00487385,0.00146907,1.21E-07,5.59E-06,871.274
0.153697,0.001779342,0.00322515,0.507256,0.385067,0.00293612,0.990203,0.00530102,0.00149571,1.30E-07,5.05E-06,893.369
0.1537,0.001821236,0.00378521,0.501464,0.389831,0.00353338,0.989203,0.00567914,0.00151561,1.37E-07,4.68E-06,910.337
0.153704,0.001868183,0.00449875,0.494475,0.395579,0.0043134,0.987913,0.00615997,0.00153978,1.45E-07,4.31E-06,928.645
0.153707,0.00192297,0.00548603,0.485426,0.403021,0.00537921,0.986139,0.00682549,0.00157527,1.55E-07,3.95E-06,948.801
0.153709,0.001977829,0.00673498,0.474867,0.411705,0.00660049,0.984034,0.00765252,0.00162602,1.67E-07,3.64E-06,967.058
0.153711,0.002022991,0.00811748,0.464135,0.420532,0.00766854,0.982032,0.00851901,0.00168873,1.80E-07,3.45E-06,979.615
0.153713,0.002055941,0.00953425,0.453948,0.42891,0.00840256,0.980415,0.00933285,0.00175726,1.93E-07,3.35E-06,986.067
0.153714,0.002071923,0.0104691,0.447572,0.434154,0.00869871,0.979577,0.00982764,0.00180359,2.01E-07,3.33E-06,987.61
0.153715,0.00208667,0.0116172,0.440031,0.440356,0.0088897,0.978763,0.010395,0.00186079,2.11E-07,3.34E-06,987.243
0.153717,0.002102988,0.01368,0.42707,0.451016,0.00887801,0.977735,0.0113348,0.00196242,2.29E-07,3.45E-06,982.006
0.153719,0.002109737,0.015518,0.415952,0.460159,0.00863008,0.977096,0.0121367,0.00205006,2.43E-07,3.63E-06,973.973
0.153721,0.002111462,0.0170495,0.406892,0.46761,0.00834055,0.976631,0.0128221,0.00212019,2.55E-07,3.83E-06,965.683
0.153722,0.002110939,0.0182394,0.399943,0.473325,0.00809672,0.976255,0.0133901,0.00217265,2.63E-07,4.03E-06,958.529
0.153723,0.002110017,0.0189414,0.395873,0.476673,0.00795272,0.976011,0.0137481,0.00220272,2.68E-07,4.16E-06,954.082
0.153726,0.002105777,0.0207745,0.38532,0.485353,0.00759786,0.975237,0.0148005,0.00227821,2.79E-07,4.59E-06,941.853
0.15373,0.002099717,0.0225298,0.375292,0.4936,0.00731258,0.974213,0.0160382,0.00234654,2.89E-07,5.11E-06,929.517
0.153733,0.002095022,0.0236446,0.368952,0.498814,0.00717067,0.973359,0.0169906,0.00238812,2.95E-07,5.53E-06,921.45
0.153735,0.002090431,0.0246252,0.363388,0.50339,0.00707627,0.972436,0.0179688,0.00242369,3.00E-07,5.95E-06,914.239
0.153738,0.002086014,0.025497,0.358451,0.50745,0.00701921,0.971453,0.0189745,0.00245462,3.05E-07,6.39E-06,907.752
0.15374,0.002082215,0.0262033,0.354457,0.510736,0.00699326,0.970524,0.0199013,0.00247926,3.08E-07,6.79E-06,902.454
0.153742,0.002079216,0.0267396,0.351426,0.513228,0.00698653,0.969728,0.0206824,0.00249776,3.11E-07,7.13E-06,898.409
0.153747,0.002072948,0.02781,0.345383,0.518198,0.00700895,0.967869,0.0224756,0.00253418,3.16E-07,7.89E-06,890.286
0.15375,0.002067728,0.0286576,0.340601,0.522131,0.00706296,0.966099,0.0241567,0.0025626,3.20E-07,8.61E-06,883.815
0.153754,0.002063505,0.0293209,0.336862,0.525206,0.00712901,0.964498,0.0256627,0.00258458,3.23E-07,9.25E-06,878.734
0.153757,0.002059929,0.0298671,0.333783,0.527738,0.00719976,0.963021,0.027046,0.00260251,3.26E-07,9.84E-06,874.54
0.15376,0.00205656,0.030372,0.330938,0.530078,0.00727871,0.961513,0.0284528,0.00261892,3.29E-07,1.04E-05,870.656
0.153763,0.002053379,0.030841,0.328296,0.532251,0.00736396,0.959979,0.0298802,0.002634,3.31E-07,1.10E-05,867.045
0.153767,0.0020499,0.0313432,0.325467,0.534578,0.00746821,0.958182,0.0315502,0.00264994,3.34E-07,1.17E-05,863.174
0.15377,0.002046573,0.0318173,0.322797,0.536774,0.00757905,0.956327,0.0332721,0.00266477,3.36E-07,1.24E-05,859.517
0.153773,0.002044113,0.0321635,0.320847,0.538378,0.00766768,0.954868,0.0346262,0.00267543,3.38E-07,1.30E-05,856.845
0.153776,0.002041415,0.0325381,0.318737,0.540113,0.0077709,0.953183,0.0361895,0.00268679,3.40E-07,1.37E-05,853.952
0.153781,0.002037854,0.0330265,0.315986,0.542376,0.0079169,0.950812,0.0383913,0.00270128,3.42E-07,1.46E-05,850.18
0.153784,0.002035745,0.0333118,0.314379,0.543697,0.00800814,0.949329,0.0397688,0.00270956,3.43E-07,1.51E-05,847.976
0.153789,0.002032083,0.0338029,0.311613,0.545972,0.00817539,0.946597,0.0423085,0.00272342,3.46E-07,1.62E-05,844.182
0.153793,0.002029589,0.0341331,0.309753,0.547502,0.00829506,0.944625,0.0441437,0.00273245,3.48E-07,1.70E-05,841.629
0.153796,0.00202772,0.0343789,0.308369,0.54864,0.00838782,0.943084,0.0455797,0.00273899,3.49E-07,1.76E-05,839.73
0.153799,0.002025915,0.0346148,0.30704,0.549733,0.00847978,0.941543,0.0470165,0.00274512,3.50E-07,1.82E-05,837.906
0.153802,0.002023659,0.0349081,0.305389,0.551091,0.00859806,0.93954,0.0488862,0.00275253,3.51E-07,1.89E-05,835.639
0.153806,0.002021587,0.0351741,0.30389,0.552323,0.00870907,0.937636,0.0506649,0.00275901,3.53E-07,1.97E-05,833.582
0.153809,0.002019895,0.0353905,0.302672,0.553326,0.00880195,0.936024,0.0521726,0.00276412,3.54E-07,2.03E-05,831.909
0.153812,0.002018547,0.0355623,0.301704,0.554122,0.00887732,0.934702,0.0534095,0.00276806,3.54E-07,2.08E-05,830.581
0.153815,0.002016792,0.0357837,0.300457,0.555147,0.00897652,0.932943,0.0550573,0.00277299,3.55E-07,2.15E-05,828.869
0.153819,0.002014752,0.0360412,0.299007,0.55634,0.00909477,0.930817,0.0570518,0.00277848,3.57E-07,2.23E-05,826.878
0.153822,0.002013198,0.036235,0.297915,0.557238,0.00918581,0.929156,0.0586108,0.00278244,3.57E-07,2.30E-05,825.379
0.153825,0.002011775,0.0364127,0.296915,0.55806,0.00927073,0.927588,0.0600842,0.00278593,3.58E-07,2.36E-05,824.005
0.153829,0.002010218,0.0366057,0.295828,0.558954,0.00936458,0.925833,0.0617347,0.00278957,3.59E-07,2.43E-05,822.513
0.153833,0.00200819,0.0368551,0.294423,0.56011,0.00948827,0.923483,0.0639472,0.00279402,3.60E-07,2.52E-05,820.583
0.153837,0.002006504,0.0370612,0.293263,0.561064,0.00959241,0.921471,0.0658437,0.00279748,3.61E-07,2.60E-05,818.99
0.153841,0.002004963,0.0372488,0.292206,0.561933,0.00968877,0.919581,0.067627,0.00280044,3.62E-07,2.67E-05,817.539
0.153844,0.002003812,0.0373894,0.291414,0.562584,0.00976185,0.918129,0.0689984,0.00280254,3.62E-07,2.73E-05,816.452
0.153847,0.002002569,0.0375392,0.290571,0.563278,0.0098406,0.916545,0.0704945,0.00280467,3.63E-07,2.79E-05,815.293
0.153855,0.001999686,0.0378861,0.288617,0.564885,0.0100262,0.912734,0.0741001,0.00280912,3.64E-07,2.94E-05,812.61
0.153862,0.001997221,0.0381793,0.286965,0.566243,0.0101865,0.909351,0.0773067,0.00281234,3.65E-07,3.07E-05,810.342
0.153872,0.001993929,0.038569,0.284771,0.568048,0.0104041,0.904614,0.0818034,0.0028158,3.66E-07,3.26E-05,807.328
0.15389,0.001988271,0.0392303,0.281046,0.571111,0.0107839,0.895914,0.0900846,0.00281936,3.68E-07,3.61E-05,802.213
0.153924,0.001979467,0.0402385,0.275368,0.575781,0.0113843,0.880915,0.104424,0.00281857,3.69E-07,4.21E-05,794.416
0.153953,0.001972881,0.0409777,0.271205,0.579205,0.0118362,0.868458,0.116385,0.00281257,3.70E-07,4.72E-05,788.698
0.153974,0.001968679,0.0414429,0.268585,0.58136,0.0121235,0.859939,0.124589,0.00280621,3.70E-07,5.06E-05,785.102
0.154,0.001964091,0.0419465,0.265749,0.583693,0.0124356,0.850087,0.134098,0.00279688,3.69E-07,5.47E-05,781.209
0.154019,0.001960988,0.0422837,0.263849,0.585255,0.0126444,0.843111,0.140844,0.00278915,3.69E-07,5.76E-05,778.603
0.154044,0.00195723,0.0426888,0.261568,0.587131,0.0128943,0.834312,0.149368,0.00277819,3.68E-07,6.12E-05,775.472
0.154079,0.001952328,0.0432125,0.258619,0.589557,0.0132142,0.822239,0.161089,0.0027612,3.66E-07,6.63E-05,771.425
0.154107,0.001948841,0.0435807,0.256545,0.591262,0.013436,0.813265,0.169818,0.00274727,3.65E-07,7.00E-05,768.581
0.154138,0.001945287,0.0439541,0.254442,0.592992,0.0136575,0.803742,0.179097,0.0027314,3.64E-07,7.41E-05,765.697
0.154172,0.00194173,0.0443247,0.252355,0.594708,0.0138729,0.793862,0.188738,0.00271385,3.62E-07,7.82E-05,762.835
0.154208,0.001938312,0.0446784,0.250363,0.596347,0.0140737,0.784025,0.198352,0.00269538,3.60E-07,8.24E-05,760.103
0.154246,0.001934992,0.0450196,0.248441,0.597927,0.0142621,0.774155,0.208013,0.00267593,3.58E-07,8.67E-05,757.469
0.154286,0.00193173,0.0453519,0.24657,0.599466,0.01444,0.764181,0.217788,0.00265541,3.55E-07,9.10E-05,754.905
0.154329,0.001928495,0.0456806,0.244718,0.600989,0.0146098,0.753956,0.227823,0.00263354,3.53E-07,9.54E-05,752.367
0.154376,0.00192531,0.0460012,0.242913,0.602474,0.0147689,0.743645,0.237955,0.0026107,3.50E-07,9.99E-05,749.894
0.154426,0.001922127,0.04632,0.241118,0.60395,0.0149201,0.733053,0.248376,0.00258647,3.47E-07,0.000104508,747.435
0.15448,0.00191904,0.0466279,0.239383,0.605377,0.0150588,0.722506,0.258766,0.00256163,3.44E-07,0.000109142,745.061
0.154537,0.001916031,0.0469257,0.237706,0.606756,0.0151857,0.712008,0.269118,0.00253623,3.41E-07,0.000113778,742.764
0.154597,0.001913078,0.0472164,0.236069,0.608103,0.015302,0.701485,0.279507,0.00251014,3.38E-07,0.000118447,740.523
0.154663,0.001910127,0.0475051,0.234443,0.60944,0.0154098,0.690767,0.2901,0.00248296,3.34E-07,0.000123226,738.298
0.154733,0.00190723,0.0477873,0.232854,0.610747,0.0155072,0.680038,0.300713,0.00245518,3.31E-07,0.000128034,736.124
0.154809,0.001904334,0.0480685,0.23127,0.612049,0.015596,0.669103,0.311543,0.0024263,3.27E-07,0.000132958,733.958
0.154891,0.001901493,0.0483422,0.229728,0.613317,0.0156742,0.658229,0.322322,0.00239704,3.23E-07,0.000137879,731.85
0.154986,0.001898456,0.0486338,0.228086,0.614668,0.015748,0.646405,0.334055,0.00236466,3.19E-07,0.000143258,729.604
0.155097,0.001895233,0.0489411,0.226355,0.616091,0.0158149,0.633683,0.346692,0.00232918,3.15E-07,0.000149077,727.239
0.15526,0.001890996,0.0493433,0.22409,0.617954,0.0158845,0.616651,0.36363,0.00228071,3.08E-07,0.000156921,724.143
0.155413,0.001887493,0.0496737,0.222229,0.619485,0.0159259,0.602353,0.377868,0.00223921,3.03E-07,0.000163553,721.601
0.1556,0.001883684,0.0500306,0.22022,0.621138,0.015954,0.586624,0.393548,0.00219276,2.97E-07,0.0001709,718.857
0.155771,0.001880578,0.0503198,0.218591,0.622477,0.0159638,0.573675,0.406471,0.00215391,2.92E-07,0.000176988,716.633
0.156114,0.001875162,0.0508214,0.215766,0.624801,0.0159521,0.550842,0.429287,0.00208415,2.83E-07,0.000187815,712.779
0.156451,0.00187067,0.0512343,0.21344,0.626713,0.0159148,0.531734,0.44841,0.00202461,2.75E-07,0.000196966,709.607
0.156688,0.001867869,0.0514901,0.212,0.627898,0.0158788,0.519785,0.460381,0.00198686,2.70E-07,0.000202733,707.643
0.156939,0.001865194,0.051734,0.210626,0.629028,0.0158353,0.508322,0.471874,0.00195029,2.65E-07,0.000208297,705.771
0.157279,0.001861916,0.0520305,0.208956,0.630401,0.0157703,0.494312,0.485934,0.00190513,2.59E-07,0.000215143,703.496
0.157637,0.00185886,0.0523067,0.207401,0.63168,0.0156978,0.481209,0.499095,0.00186245,2.53E-07,0.00022159,701.377
0.157965,0.001856318,0.0525351,0.206114,0.632738,0.0156291,0.470347,0.510014,0.00182675,2.48E-07,0.000226968,699.626
0.158398,0.001853295,0.0528052,0.204593,0.63399,0.0155376,0.457485,0.522954,0.0017841,2.43E-07,0.000233378,697.555
0.158753,0.001851055,0.0530049,0.203468,0.634915,0.0154631,0.447977,0.532526,0.00175233,2.38E-07,0.000238146,696.025
0.159648,0.001846128,0.0534423,0.201005,0.636941,0.0152792,0.42718,0.553485,0.0016821,2.29E-07,0.000248666,692.675
0.16266,0.00183428,0.0544819,0.19515,0.641756,0.0147339,0.37831,0.602853,0.00151327,2.06E-07,0.000273919,684.719
0.167428,0.00182266,0.0554857,0.189497,0.646406,0.0140751,0.332591,0.649186,0.00135069,1.84E-07,0.000298318,677.05
0.171907,0.001815328,0.0561123,0.185968,0.649308,0.0136068,0.305141,0.677078,0.00125095,1.70E-07,0.000313389,672.268
0.176151,0.001810047,0.05656,0.183446,0.651381,0.0132492,0.286159,0.696401,0.00118105,1.61E-07,0.000324026,668.855
0.18063,0.001805561,0.0569378,0.181319,0.653131,0.0129343,0.270593,0.712267,0.00112316,1.53E-07,0.000332894,665.976
0.18511,0.001801837,0.0572499,0.179561,0.654577,0.0126662,0.258066,0.72505,0.0010762,1.46E-07,0.000340133,663.599
0.188646,0.001799293,0.0574626,0.178363,0.655562,0.0124798,0.249714,0.733581,0.0010447,1.42E-07,0.000345016,661.98
0.192183,0.00179702,0.0576522,0.177295,0.656441,0.0123113,0.242395,0.741061,0.00101697,1.38E-07,0.000349333,660.538
0.195719,0.001794961,0.0578231,0.176333,0.657232,0.0121578,0.235904,0.747699,0.000992276,1.35E-07,0.000353194,659.238
0.199255,0.001793089,0.0579785,0.175457,0.657952,0.012017,0.23009,0.753648,0.000970078,1.32E-07,0.000356678,658.056
0.202792,0.001791368,0.0581209,0.174655,0.658612,0.0118869,0.224837,0.759026,0.000949958,1.29E-07,0.000359848,656.973
0.206328,0.001789778,0.0582523,0.173916,0.65922,0.0117662,0.220058,0.763922,0.000931595,1.27E-07,0.000362753,655.975
0.209865,0.001788304,0.0583741,0.17323,0.659784,0.0116536,0.215681,0.768407,0.000914733,1.24E-07,0.000365429,655.05
0.213401,0.00178692,0.0584876,0.17259,0.66031,0.0115482,0.21165,0.772539,0.000899168,1.22E-07,0.000367907,654.188
0.216938,0.001785632,0.0585938,0.171992,0.660802,0.0114492,0.207921,0.776363,0.000884732,1.20E-07,0.000370213,653.381
0.220474,0.001784418,0.0586936,0.17143,0.661264,0.0113559,0.204456,0.779918,0.000871289,1.18E-07,0.000372368,652.623
0.22401,0.001783273,0.0587876,0.1709,0.6617,0.0112677,0.201223,0.783236,0.000858722,1.17E-07,0.000374388,651.909
0.227547,0.001782182,0.0588766,0.170399,0.662112,0.0111841,0.198197,0.786342,0.000846936,1.15E-07,0.000376288,651.234
0.231569,0.00178102,0.0589721,0.169861,0.662554,0.0110941,0.194979,0.789648,0.000834376,1.13E-07,0.000378319,650.508
0.235319,0.001779985,0.0590564,0.169387,0.662945,0.0110145,0.192169,0.792534,0.000823389,1.12E-07,0.0003801,649.869
0.239069,0.001779004,0.0591365,0.168936,0.663316,0.0109388,0.189523,0.795252,0.000813029,1.10E-07,0.000381785,649.261
0.242819,0.001778071,0.0592128,0.168506,0.663669,0.0108666,0.187026,0.797819,0.000803235,1.09E-07,0.000383382,648.683
0.246569,0.001777178,0.0592855,0.168096,0.664006,0.0107976,0.184664,0.800248,0.000793954,1.08E-07,0.000384899,648.131
0.250319,0.001776326,0.0593551,0.167704,0.664329,0.0107316,0.182424,0.802552,0.00078514,1.07E-07,0.000386344,647.603
0.254069,0.001775501,0.0594218,0.167329,0.664637,0.0106682,0.180295,0.804742,0.000776753,1.05E-07,0.000387722,647.097
0.257819,0.001774716,0.0594858,0.166969,0.664934,0.0106075,0.178269,0.806827,0.000768758,1.04E-07,0.000389039,646.612
0.261569,0.001773959,0.0595472,0.166622,0.665218,0.010549,0.176336,0.808816,0.000761123,1.03E-07,0.000390299,646.146
0.265319,0.001773235,0.0596064,0.166289,0.665492,0.0104928,0.17449,0.810716,0.000753822,1.02E-07,0.000391507,645.698
0.269069,0.001772531,0.0596634,0.165968,0.665756,0.0104385,0.172723,0.812535,0.000746828,1.01E-07,0.000392667,645.266
0.272819,0.001771854,0.0597183,0.165659,0.666011,0.0103862,0.171031,0.814278,0.00074012,1.00E-07,0.000393781,644.85
0.276569,0.001771197,0.0597714,0.16536,0.666257,0.0103356,0.169408,0.81595,0.000733677,9.95E-08,0.000394854,644.447
0.280319,0.001770561,0.0598228,0.165071,0.666495,0.0102868,0.167848,0.817557,0.000727482,9.87E-08,0.000395888,644.058
0.284069,0.001769944,0.0598725,0.164791,0.666725,0.0102395,0.166348,0.819102,0.000721518,9.78E-08,0.000396885,643.682
0.288569,0.001769237,0.05993,0.164466,0.666991,0.0101846,0.164622,0.820881,0.000714645,9.69E-08,0.000398037,643.246
0.292819,0.001768589,0.0599825,0.164171,0.667234,0.0101347,0.16306,0.822492,0.00070842,9.60E-08,0.000399082,642.848
0.296569,0.001768032,0.0600274,0.163918,0.667442,0.010092,0.161733,0.82386,0.000703127,9.53E-08,0.000399973,642.509
0.300319,0.00176749,0.0600709,0.163673,0.667644,0.0100505,0.160451,0.825182,0.000698009,9.46E-08,0.000400836,642.179
0.304069,0.001766967,0.0601133,0.163434,0.66784,0.0100102,0.159212,0.82646,0.000693057,9.39E-08,0.000401672,641.858
0.307819,0.001766457,0.0601545,0.163202,0.668031,0.00997104,0.158012,0.827697,0.000688261,9.33E-08,0.000402483,641.546
0.311569,0.001765955,0.0601946,0.162976,0.668217,0.00993289,0.156851,0.828895,0.000683613,9.26E-08,0.000403271,641.242
0.315319,0.001765472,0.0602337,0.162756,0.668398,0.00989573,0.155726,0.830056,0.000679105,9.20E-08,0.000404037,640.946
0.319069,0.001764996,0.0602718,0.162542,0.668574,0.00985952,0.154634,0.831183,0.00067473,9.14E-08,0.000404781,640.658
0.322819,0.001764533,0.0603089,0.162332,0.668747,0.00982422,0.153575,0.832276,0.00067048,9.08E-08,0.000405504,640.377
0.326569,0.001764084,0.0603452,0.162128,0.668914,0.00978978,0.152546,0.833338,0.000666351,9.03E-08,0.000406209,640.102
0.330319,0.001763648,0.0603806,0.161929,0.669079,0.00975617,0.151546,0.83437,0.000662335,8.97E-08,0.000406895,639.834
0.334069,0.001763212,0.0604152,0.161734,0.669239,0.00972334,0.150574,0.835374,0.000658427,8.92E-08,0.000407564,639.572
0.337819,0.001762795,0.060449,0.161544,0.669395,0.00969127,0.149629,0.836351,0.000654623,8.87E-08,0.000408216,639.317
0.341569,0.001762379,0.0604821,0.161357,0.669548,0.00965993,0.148708,0.837302,0.000650917,8.82E-08,0.000408852,639.066
0.345319,0.001761976,0.0605144,0.161175,0.669698,0.00962928,0.147811,0.838228,0.000647305,8.77E-08,0.000409473,638.822
0.349069,0.001761587,0.0605461,0.160997,0.669845,0.0095993,0.146938,0.839131,0.000643784,8.72E-08,0.000410079,638.582
0.352819,0.001761197,0.0605771,0.160822,0.669988,0.00956995,0.146086,0.840011,0.000640349,8.67E-08,0.000410671,638.348
0.356569,0.001760821,0.0606074,0.160651,0.670129,0.00954122,0.145255,0.840869,0.000636996,8.63E-08,0.00041125,638.118
0.360319,0.001760445,0.0606372,0.160484,0.670267,0.00951308,0.144444,0.841707,0.000633722,8.58E-08,0.000411816,637.893
0.364069,0.001760081,0.0606663,0.16032,0.670402,0.00948552,0.143652,0.842526,0.000630524,8.54E-08,0.00041237,637.673
0.367819,0.001759725,0.0606949,0.160159,0.670534,0.0094585,0.142879,0.843325,0.000627398,8.50E-08,0.000412912,637.456
0.371569,0.001759375,0.060723,0.160001,0.670664,0.00943201,0.142124,0.844106,0.000624343,8.45E-08,0.000413442,637.244
0.375319,0.001759032,0.0607505,0.159846,0.670792,0.00940602,0.141385,0.84487,0.000621354,8.41E-08,0.000413962,637.036
0.379069,0.001758695,0.0607775,0.159693,0.670917,0.00938053,0.140663,0.845616,0.000618431,8.37E-08,0.000414471,636.832
0.382819,0.001758365,0.060804,0.159544,0.67104,0.00935552,0.139956,0.846347,0.000615569,8.33E-08,0.000414969,636.631
0.386569,0.001758035,0.0608301,0.159397,0.671161,0.00933096,0.139265,0.847062,0.000612767,8.29E-08,0.000415458,636.434
0.390319,0.001757719,0.0608557,0.159253,0.671279,0.00930685,0.138588,0.847762,0.000610023,8.26E-08,0.000415938,636.24
0.394069,0.001757402,0.0608809,0.159111,0.671396,0.00928317,0.137926,0.848448,0.000607335,8.22E-08,0.000416408,636.05
0.397819,0.001757092,0.0609056,0.158972,0.67151,0.0092599,0.137277,0.849119,0.0006047,8.18E-08,0.00041687,635.863
0.401569,0.001756788,0.0609299,0.158835,0.671623,0.00923703,0.13664,0.849777,0.000602117,8.15E-08,0.000417322,635.679
